"ulke","serial1","serial2","diff","ci_lo","ci_hi","sig"
"TUR",-0.00644672057640243,-0.00413075602714694,-0.00226788614269579,-0.00931724419166858,0.00432412461110975,"HAYIR"
"KOR",-0.00773907250301411,-0.00189383906031329,-0.00574728810990446,-0.0205521854051296,0.00397064278108871,"HAYIR"
"FIN",-0.0120523453175856,-0.00231334886839443,-0.0096829985947364,-0.0235914557737343,0.00231589336337629,"HAYIR"
"MEX",-0.00265931661688262,-0.00423369670349219,0.00163460468948988,-0.00855925462359451,0.0121135950910183,"HAYIR"
