"ulke","yol","est","ci_lo","ci_hi","sig","b3"
"TUR","serial1_nokov",-0.00900735461135384,-0.0165094455084607,-0.00342284972706464,"EVET",0.250458472827981
"TUR","serial2_nokov",-0.00485284968448354,-0.0108548409340462,-0.000455060270331855,"EVET",0.250458472827981
"KOR","serial1_nokov",-0.0114277683361229,-0.0321134523231224,0.00171617424253026,"HAYIR",0.313927363702099
"KOR","serial2_nokov",-0.00298826627184576,-0.0118813501451323,0.00271079446218549,"HAYIR",0.313927363702099
"FIN","serial1_nokov",-0.0216884243636505,-0.0357895801250003,-0.0105050267317725,"EVET",0.359471534340304
"FIN","serial2_nokov",-0.00581705057051705,-0.0141270861459039,0.00080314199590131,"HAYIR",0.359471534340304
"MEX","serial1_nokov",-0.00545820244475912,-0.0168457658268044,0.00369634500237877,"HAYIR",0.297169416192843
"MEX","serial2_nokov",-0.00595475888714426,-0.0144688792157695,-0.0002392338803723,"EVET",0.297169416192843
