"parameter","est","SE","t","df","p","VarRep","ulke","model"
"ResidVar",0.762972461430517,0.011256445638513,67.78,Inf,0,0.000126707568412798,"MEX","M4_CREATEFF"
"ExplVar_Lev2_Fixed",-0.0080994246033029,0.00293080673473554,-2.76,Inf,0.0057801361524523,8.58962811637117e-06,"MEX","M4_CREATEFF"
"ExplVar_Lev2_Random",0,0,NA,Inf,NA,0,"MEX","M4_CREATEFF"
"ResidVar_Lev2",0.0184653547685996,0.0207603654669918,0.89,Inf,0.373465886074345,0.000430992774323067,"MEX","M4_CREATEFF"
"ExplVar_Lev1_Fixed",0.1602113826667,0.0555535293997751,2.88,Inf,0.00397675170978865,0.00308619462877168,"MEX","M4_CREATEFF"
"ExplVar_Lev1_Random",0,0,NA,Inf,NA,0,"MEX","M4_CREATEFF"
"ResidVar_Lev1",0.762972461430517,0.011256445638513,67.78,Inf,0,0.000126707568412798,"MEX","M4_CREATEFF"
"Var_Total",0.933549774262514,0.0544013208914798,17.16,Inf,5.29136405795054e-66,0.00295950371473776,"MEX","M4_CREATEFF"
"R2_Lev2",-0.781350488971874,53475.8533668188,0,Inf,1,2859666893.3095,"MEX","M4_CREATEFF"
"R2_Lev1",0.173542229633981,0.0454120490872304,3.82,Inf,0.00013345167405937,0.00206225420230102,"MEX","M4_CREATEFF"
"R2_Total",0.16293931213637,0.0433740092416642,3.76,Inf,0.000169913356995996,0.00188130467769597,"MEX","M4_CREATEFF"
"ICC_Uncond",0.0111037787711808,0.0216430689387768,0.51,Inf,0.610051461795039,0.000468422433088647,"MEX","M4_CREATEFF"
"ICC_UncondWB",0.0207583234712559,0.0194680274251782,1.07,Inf,0.284619308711878,0.000379004091827491,"MEX","M4_CREATEFF"
"ICC_Cond",0.0236299733463302,0.0262038113525388,0.9,Inf,0.368120250693519,0.000686639729399441,"MEX","M4_CREATEFF"
