"parameter","est","SE","t","df","p","VarRep","ulke","model"
"beta_(Intercept)",-0.103755269766864,0.120464626096037,-0.86,Inf,0.389789042503617,0.014511726140458,"FIN","M3_CREATSCH"
"beta_BELONG_CWC",0.113856675623214,0.0496435697432501,2.29,Inf,0.0220213166488228,0.00246448401685294,"FIN","M3_CREATSCH"
"beta_FEELSAFE_CWC",0.0372521904137884,0.0464398566043331,0.8,Inf,0.423710797166793,0.00215666028143102,"FIN","M3_CREATSCH"
"beta_BULLIED_CWC",-0.0449376022089824,0.0447070592693306,-1.01,Inf,0.312495290042509,0.00199872114851144,"FIN","M3_CREATSCH"
"beta_ESCS_CWC",0.00840239092388724,0.0487119805120894,0.17,Inf,0.865010136649923,0.00237285704541017,"FIN","M3_CREATSCH"
"beta_ANXMAT_CWC",-0.130254338499942,0.0422260663731128,-3.08,Inf,0.00207000594960568,0.00178304068134653,"FIN","M3_CREATSCH"
"beta_FAMSUP_CWC",0.205263713633433,0.0511894020185608,4.01,Inf,6.07187478532364e-05,0.00262035487901783,"FIN","M3_CREATSCH"
"beta_ST004D01T",0.108622098538951,0.0824231894051633,1.32,Inf,0.186835017986944,0.00679358215171943,"FIN","M3_CREATSCH"
"Var_(Intercept)",0.0122744298278965,0.0130148281435416,0.94,Inf,0.347217560677249,0.000169385751605924,"FIN","M3_CREATSCH"
"ResidVar",0.775208622308835,0.0234512987703648,33.06,Inf,1.11740487451405e-239,0.000549963414016912,"FIN","M3_CREATSCH"
"ExplVar_Lev2_Fixed",-0.00435399248237145,0.00185130320400661,-2.35,Inf,0.0187734110696771,3.42732355316514e-06,"FIN","M3_CREATSCH"
"ExplVar_Lev2_Random",0,0,NA,Inf,NA,0,"FIN","M3_CREATSCH"
"ResidVar_Lev2",0.0122744298278965,0.0130148281435416,0.94,Inf,0.347217560677249,0.000169385751605924,"FIN","M3_CREATSCH"
"ExplVar_Lev1_Fixed",0.155814193501671,0.0629360817156507,2.48,Inf,0.0131382382710935,0.00396095038171907,"FIN","M3_CREATSCH"
"ExplVar_Lev1_Random",0,0,NA,Inf,NA,0,"FIN","M3_CREATSCH"
"ResidVar_Lev1",0.775208622308835,0.0234512987703648,33.06,Inf,1.11740487451405e-239,0.000549963414016912,"FIN","M3_CREATSCH"
"Var_Total",0.938943253156031,0.0631731794419147,14.86,Inf,5.99251886027769e-50,0.00399085060080036,"FIN","M3_CREATSCH"
"R2_Lev2",-0.549716170008139,1.82316803412101,-0.3,Inf,0.764177155622095,3.32394168064067,"FIN","M3_CREATSCH"
"R2_Lev1",0.167358082804905,0.0531655598585266,3.15,Inf,0.00163270462565712,0.00282657675507057,"FIN","M3_CREATSCH"
"R2_Total",0.161309217048211,0.0514973728962308,3.13,Inf,0.00174806303126314,0.00265197941521345,"FIN","M3_CREATSCH"
"ICC_Uncond",0.00843548033270637,0.013251060655162,0.64,Inf,0.522172599385723,0.000175590608486782,"FIN","M3_CREATSCH"
"ICC_UncondWB",0.00433013041629136,0.01053100577932,0.41,Inf,0.681805947544645,0.000110902082724071,"FIN","M3_CREATSCH"
"ICC_Cond",0.0155869130066881,0.01630965329031,0.96,Inf,0.337055214933676,0.000266004790450119,"FIN","M3_CREATSCH"
"beta_(Intercept)",0.20329467758883,0.158183261582288,1.29,Inf,0.197050658099496,0.0250219442448105,"FIN","M4_CREATEFF"
"beta_BULLIED_CWC",0.0755018150434691,0.0423571099877788,1.78,Inf,0.0750759606970336,0.00179412476651679,"FIN","M4_CREATEFF"
"beta_BELONG_CWC",0.0721763197925279,0.0602021187899443,1.2,Inf,0.230139340443417,0.00362429510679856,"FIN","M4_CREATEFF"
"beta_FEELSAFE_CWC",0.0133944816705604,0.048923885399828,0.27,Inf,0.787160253603921,0.00239354656261551,"FIN","M4_CREATEFF"
"beta_CREATSCH_CWC",0.342978155428409,0.0526403058832363,6.52,Inf,7.03073914790349e-11,0.00277100180348069,"FIN","M4_CREATEFF"
"beta_ESCS_CWC",0.10804650510976,0.0554176669236745,1.95,Inf,0.0511761190432773,0.00307111780726332,"FIN","M4_CREATEFF"
"beta_ANXMAT_CWC",-0.00811564392744158,0.0462213636963407,-0.18,Inf,0.857152568198199,0.0021364144619494,"FIN","M4_CREATEFF"
"beta_FAMSUP_CWC",0.0823004244612255,0.0490944454415066,1.68,Inf,0.0929573157274401,0.00241026457320907,"FIN","M4_CREATEFF"
"beta_ST004D01T",-0.168608491725139,0.100510334794543,-1.68,Inf,0.0929573157274401,0.0101023274005112,"FIN","M4_CREATEFF"
"Var_(Intercept)",0.0190800485583846,0.0128918455492245,1.48,Inf,0.138873246666663,0.00016619968166506,"FIN","M4_CREATEFF"
"ResidVar",0.839669856394489,0.0233495424690295,35.96,Inf,3.53181153483743e-283,0.00054520113351301,"FIN","M4_CREATEFF"
"ExplVar_Lev2_Fixed",-0.00536236346730641,0.00221798129307359,-2.42,Inf,0.0155205071011073,4.9194410164244e-06,"FIN","M4_CREATEFF"
"ExplVar_Lev2_Random",0,0,NA,Inf,NA,0,"FIN","M4_CREATEFF"
"ResidVar_Lev2",0.0190800485583846,0.0128918455492245,1.48,Inf,0.138873246666663,0.00016619968166506,"FIN","M4_CREATEFF"
"ExplVar_Lev1_Fixed",0.192125647453424,0.0737259763214639,2.61,Inf,0.00905422226593465,0.00543551958455306,"FIN","M4_CREATEFF"
"ExplVar_Lev1_Random",0,0,NA,Inf,NA,0,"FIN","M4_CREATEFF"
"ResidVar_Lev1",0.839669856394489,0.0233495424690295,35.96,Inf,3.53181153483743e-283,0.00054520113351301,"FIN","M4_CREATEFF"
"Var_Total",1.04551318893899,0.0755124082681053,13.85,Inf,1.27212091318937e-43,0.00570212380244902,"FIN","M4_CREATEFF"
"R2_Lev2",-0.390908774454519,0.636701132202548,-0.61,Inf,0.541861807566011,0.405388331748006,"FIN","M4_CREATEFF"
"R2_Lev1",0.186205160554511,0.0533780368415303,3.49,Inf,0.000483020547135672,0.00284921481705576,"FIN","M4_CREATEFF"
"R2_Total",0.178633120999314,0.0519482818946436,3.44,Inf,0.000581714186581487,0.00269862399180536,"FIN","M4_CREATEFF"
"ICC_Uncond",0.0131205280203105,0.0120044491202267,1.09,Inf,0.275713144064071,0.000144106798680111,"FIN","M4_CREATEFF"
"ICC_UncondWB",0.00954197818570766,0.00998268785382223,0.96,Inf,0.337055214933676,9.96540567868499e-05,"FIN","M4_CREATEFF"
"ICC_Cond",0.0222183996159297,0.014704406632863,1.51,Inf,0.131043424177833,0.000216219574424587,"FIN","M4_CREATEFF"
"beta_(Intercept)",-0.29942620176929,0.167559104607402,-1.79,Inf,0.0734539113974526,0.0280760535368342,"MEX","M1_BELONG"
"beta_BULLIED_CWC",-0.226845480943791,0.0575695151109031,-3.94,Inf,8.14816091171014e-05,0.0033142490701045,"MEX","M1_BELONG"
"beta_ESCS_CWC",0.0600951362369786,0.051610968116344,1.16,Inf,0.246048806102687,0.00266369202990628,"MEX","M1_BELONG"
"beta_ANXMAT_CWC",-0.0457481577959306,0.0533741668756195,-0.86,Inf,0.389789042503617,0.00284880168966648,"MEX","M1_BELONG"
"beta_FAMSUP_CWC",0.128000308171505,0.051959969070711,2.46,Inf,0.0138937015772486,0.00269983838582925,"MEX","M1_BELONG"
"beta_ST004D01T",0.0950268359813352,0.119731804561347,0.79,Inf,0.429527768327274,0.0143357050235166,"MEX","M1_BELONG"
"Var_(Intercept)",0.00245570479769298,0.0110070968800471,0.22,Inf,0.825871154703571,0.000121156181726743,"MEX","M1_BELONG"
"ResidVar",1.04245727213843,0.0123446551534238,84.45,Inf,0,0.000152390510856952,"MEX","M1_BELONG"
"ExplVar_Lev2_Fixed",-0.00465707491952459,0.00313565555268244,-1.49,Inf,0.136224235933451,9.83233574506823e-06,"MEX","M1_BELONG"
"ExplVar_Lev2_Random",0,0,NA,Inf,NA,0,"MEX","M1_BELONG"
"ResidVar_Lev2",0.00245570479769298,0.0110070968800471,0.22,Inf,0.825871154703571,0.000121156181726743,"MEX","M1_BELONG"
"ExplVar_Lev1_Fixed",0.0975758556215763,0.0647528431467497,1.51,Inf,0.131043424177833,0.00419293069558757,"MEX","M1_BELONG"
"ExplVar_Lev1_Random",0,0,NA,Inf,NA,0,"MEX","M1_BELONG"
"ResidVar_Lev1",1.04245727213843,0.0123446551534238,84.45,Inf,0,0.000152390510856952,"MEX","M1_BELONG"
"Var_Total",1.13783175763818,0.061897193949864,18.38,Inf,1.89968670350368e-75,0.00383126261886708,"MEX","M1_BELONG"
"R2_Lev2",2.11553471782826,103.934372545957,0.02,Inf,0.984043372566196,10802.3537965218,"MEX","M1_BELONG"
"R2_Lev1",0.0855903686003389,0.0495677781341966,1.73,Inf,0.0836302752271899,0.00245696462916094,"MEX","M1_BELONG"
"R2_Total",0.0816630227432968,0.0475702474693603,1.72,Inf,0.0854324415826579,0.00226292844429618,"MEX","M1_BELONG"
"ICC_Uncond",-0.00193470616991834,0.00982937835746657,-0.2,Inf,0.841480581121794,9.66166788942322e-05,"MEX","M1_BELONG"
"ICC_UncondWB",0.000403244994965026,0.0161452337422252,0.02,Inf,0.984043372566196,0.000260668572591086,"MEX","M1_BELONG"
"ICC_Cond",0.00235015245469872,0.0105306781800817,0.22,Inf,0.825871154703571,0.000110895182932448,"MEX","M1_BELONG"
"beta_(Intercept)",-1.00525127986879,0.162251667935363,-6.2,Inf,5.64631607408654e-10,0.0263256037478071,"MEX","M2_FEELSAFE"
"beta_BULLIED_CWC",-0.138576658201766,0.0469420039312814,-2.95,Inf,0.00317773929472974,0.00220355173308444,"MEX","M2_FEELSAFE"
"beta_ESCS_CWC",0.049719731939765,0.0455484516395108,1.09,Inf,0.275713144064071,0.00207466144675685,"MEX","M2_FEELSAFE"
"beta_ANXMAT_CWC",-0.0340047084921462,0.0486336787427102,-0.7,Inf,0.483927304446146,0.00236523470804914,"MEX","M2_FEELSAFE"
"beta_FAMSUP_CWC",0.111629304140771,0.0412889956674589,2.7,Inf,0.00693394760608133,0.00170478116322744,"MEX","M2_FEELSAFE"
"beta_ST004D01T",0.452121816432141,0.0947218911258314,4.77,Inf,1.84225919233429e-06,0.00897223665845387,"MEX","M2_FEELSAFE"
"Var_(Intercept)",0.0343974694871364,0.027723667630923,1.24,Inf,0.214975394149174,0.00076860174690989,"MEX","M2_FEELSAFE"
"ResidVar",0.922184597840696,0.0104552548113327,88.2,Inf,0,0.000109312353169896,"MEX","M2_FEELSAFE"
"ExplVar_Lev2_Fixed",-0.00212560388151457,0.00262048593737365,-0.81,Inf,0.417940175743203,6.86694654797306e-06,"MEX","M2_FEELSAFE"
"ExplVar_Lev2_Random",0,0,NA,Inf,NA,0,"MEX","M2_FEELSAFE"
"ResidVar_Lev2",0.0343974694871364,0.027723667630923,1.24,Inf,0.214975394149174,0.00076860174690989,"MEX","M2_FEELSAFE"
"ExplVar_Lev1_Fixed",0.109120055205627,0.0519020681297659,2.1,Inf,0.0357288411256331,0.00269382467614686,"MEX","M2_FEELSAFE"
"ExplVar_Lev1_Random",0,0,NA,Inf,NA,0,"MEX","M2_FEELSAFE"
"ResidVar_Lev1",0.922184597840696,0.0104552548113327,88.2,Inf,0,0.000109312353169896,"MEX","M2_FEELSAFE"
"Var_Total",1.06357651865194,0.0525084449564217,20.26,Inf,2.89962676808375e-91,0.00275713679174156,"MEX","M2_FEELSAFE"
"R2_Lev2",-0.0658655408240262,0.146770917586387,-0.45,Inf,0.65271044057584,0.0215417022491499,"MEX","M2_FEELSAFE"
"R2_Lev1",0.105807779382457,0.0425693984238386,2.49,Inf,0.0127743095298863,0.00181215368216752,"MEX","M2_FEELSAFE"
"R2_Total",0.100598734033471,0.0402910737189778,2.5,Inf,0.0124193306515523,0.00162337062142811,"MEX","M2_FEELSAFE"
